"empresa_id","sector","tamanio","personal","ventas","gasto_innov","innov_producto","innov_proceso","inv_ID","uso_TIC","exporta"
1,"Servicios","Pequeña",33,1945.9779956378,0.01,0,0,0.0043029773148507,"Medio",0
2,"Comercio","Grande",517,181982.25008091,7104.37813898772,0,0,3554.90456751551,"Medio",0
3,"Comercio","Micro",7,407.939909165725,20.7375341573741,0,0,6.01743877506649,"Bajo",0
4,"TIC","Micro",9,94.6603740252516,11.0019889091081,1,1,4.93214578020702,"Alto",0
5,"TIC","Micro",4,429.162946924953,27.3043507441477,1,1,8.60081065775643,"Alto",0
6,"Servicios","Mediana",72,47688.4178305045,3968.70374538768,1,0,1031.8044227572,"Medio",0
7,"Comercio","Micro",10,174.996192823164,11.6613473448494,0,1,4.6058660506272,"Bajo",0
8,"TIC","Pequeña",38,1835.13844763931,95.4101520933143,0,0,21.7333502552734,"Alto",0
9,"Comercio","Pequeña",39,1217.45966060553,38.6794459048769,0,0,12.6723804814876,"Medio",0
10,"Comercio","Pequeña",49,822.335252072662,0.01,0,1,0.00327237031781197,"Bajo",0
11,"TIC","Micro",5,353.324105202623,16.3129240043479,1,1,7.00458412713277,"Alto",0
12,"Comercio","Pequeña",43,2704.26673220936,134.108369226113,0,0,48.8870768074155,"Medio",0
13,"Comercio","Pequeña",29,2724.3156285258,104.349190886775,0,0,32.4766161619313,"Bajo",0
14,"Comercio","Mediana",190,44976.7213326413,1162.02273891266,1,0,324.710053543969,"Medio",0
15,"Servicios","Pequeña",44,665.169619140215,0.01,0,0,0.00357473823004597,"Medio",0
16,"TIC","Mediana",71,16792.2037313113,242.890605977378,1,1,65.0156558150505,"Alto",0
17,"Servicios","Micro",1,281.201512622647,1.83576614106092,1,1,0.558740608475074,"Alto",0
18,"Servicios","Micro",3,156.352950050496,4.16217341228429,0,1,1.83383174112755,"Medio",0
19,"Servicios","Mediana",80,30894.6051436942,166.648849567352,1,0,57.3935099247044,"Bajo",1
20,"TIC","Grande",417,192395.978198523,9879.79835352175,0,0,3180.58960705218,"Alto",1
21,"TIC","Pequeña",13,3924.33800138615,0.01,1,1,0.00353459951731863,"Alto",0
22,"Comercio","Grande",315,86038.0787751637,5509.03721145594,1,0,2435.90545657009,"Bajo",1
23,"Comercio","Mediana",171,11556.8943158723,252.046854657132,0,0,53.35485571544,"Medio",0
24,"TIC","Mediana",132,26458.3362187699,428.290316701378,0,0,119.887594292381,"Alto",0
