"empresa_id","sector","tamanio","personal","ventas","gasto_innov","innov_producto","innov_proceso","inv_ID","uso_TIC","exporta"
1,"Servicios","Micro",8,275.333946442697,15.8126740642212,0,1,7.50538997331696,"Alto",0
2,"Comercio","Micro",2,466.638810944278,12.3034727012614,0,0,2.65161545994688,"Bajo",0
3,"Comercio","Pequeña",16,1436.33601628244,12.2769621931697,0,0,4.02909695577336,"Alto",0
4,"TIC","Pequeña",33,780.810515097287,28.802944278915,0,1,9.02265994648616,"Medio",0
5,"TIC","Micro",1,214.13034454451,3.08223846557999,1,1,1.11005583598817,"Bajo",0
6,"Servicios","Pequeña",42,3470.50512349233,259.168543502896,0,0,99.4275542803757,"Medio",0
7,"Comercio","Micro",7,191.611085331533,0.01,0,0,0.00438094067258557,"Medio",0
8,"TIC","Micro",8,610.943730219058,42.9928573281946,1,0,11.4807634325633,"Alto",0
9,"Comercio","Grande",659,244742.644962389,7528.4381733031,0,0,2267.45420148078,"Bajo",1
10,"Comercio","Pequeña",27,2027.44060824625,0.01,0,1,0.00355872936029833,"Bajo",0
11,"TIC","Micro",7,301.755905954474,12.056397134995,1,0,5.46515105672081,"Medio",0
12,"Comercio","Pequeña",29,2371.97659444064,235.057224295716,0,0,45.1377070961459,"Bajo",0
13,"Comercio","Mediana",65,39935.0254761521,0.01,0,1,0.00200658700906361,"Medio",0
14,"Comercio","Micro",10,268.442152661737,0.01,0,0,0.00312074955113973,"Medio",0
15,"Servicios","Mediana",83,5688.45968693495,406.26641561553,0,1,122.685224518206,"Alto",0
16,"TIC","Pequeña",28,4114.15386327954,101.181868591745,1,0,49.3933451452313,"Medio",0
17,"Servicios","Micro",4,155.673493177164,5.71085066855346,0,1,2.01318859731946,"Alto",0
18,"Servicios","Mediana",141,38616.1647376139,2515.8865639534,0,1,587.42026966562,"Alto",0
19,"Servicios","Pequeña",20,1830.23318531923,67.1026492845319,0,1,15.3602593543282,"Bajo",0
20,"TIC","Mediana",103,57489.4457113262,5859.91334268904,0,1,1439.07762042505,"Alto",1
21,"TIC","Pequeña",19,5488.88939800276,94.0387144621823,1,1,39.9252628729656,"Alto",1
22,"Comercio","Micro",3,257.883699634112,11.9647248500475,0,0,3.54872557891416,"Bajo",0
23,"Comercio","Pequeña",28,821.067117271014,28.7174506056817,0,1,14.1591557496392,"Medio",0
24,"TIC","Pequeña",38,3717.64246323982,22.9556330362572,1,0,9.59652644176463,"Alto",0
25,"Comercio","Micro",5,310.810700303409,8.66306155971236,0,0,2.22955944142564,"Medio",0
26,"Comercio","Mediana",79,49710.9549620654,673.73347131625,0,0,283.551211070114,"Medio",0
27,"Comercio","Grande",576,133818.603598047,0.01,0,0,0.00368723841331936,"Bajo",0
28,"Comercio","Pequeña",46,3500.60798379127,45.556198270232,1,0,23.2804409464998,"Bajo",0
29,"Servicios","Grande",284,284639.000496827,5617.80897309052,1,1,1375.06915248851,"Bajo",0
30,"Servicios","Pequeña",33,3086.85575728305,137.381153378829,0,1,65.3115487775789,"Medio",0
31,"TIC","Grande",754,277043.03725551,22498.320118893,0,1,11057.4608861313,"Alto",0
32,"TIC","Mediana",132,10376.9179575317,351.502306894999,1,1,162.37792533442,"Alto",1
33,"Comercio","Micro",3,439.906660083216,0.01,1,0,0.00423608072379137,"Bajo",0
34,"Comercio","Mediana",196,27551.2728560716,1403.45331708937,0,0,624.030660219764,"Bajo",0
35,"Servicios","Pequeña",20,1504.65327862184,45.243041666168,1,1,12.1893723065056,"Medio",0
36,"Comercio","Mediana",149,23558.8658729102,2006.34242678508,0,0,656.742943083431,"Bajo",0
37,"Comercio","Pequeña",39,4488.37825807277,0.01,1,1,0.00276775243938838,"Alto",0
38,"Servicios","Mediana",133,27301.704675192,524.559188369975,1,0,165.645471883872,"Alto",0
39,"Servicios","Micro",8,352.739177492913,16.1929583990949,1,0,5.16462526893355,"Medio",0
40,"Servicios","Pequeña",43,1771.26997080632,88.2099206707834,0,0,33.4521077438208,"Bajo",0
